decade,year,genre,left_context,keyword,right_context,text,dm_code,confidence,reason,notes
1960,1960,TV/MOV,"a big favor. I'm going to give you that divorce,",so,you won't have to look at my face any longer.,"  do you a big favor. I'm going to give you that divorce, so you won't have to look at my face any longer. I tried making",1,medium,Potential DM: after comma,
1960,1960,TV/MOV, flowers. That's my father. Thank you.? Why? est?,so,glad? You have not s? Dead the brother of my,  flowers. That's my father. Thank you.? Why? est? so glad? You have not s? Dead the brother of my t? O,0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV, like you in,so,"many ways. How's that, honey? He was so understanding of","  like you in so many ways. How's that, honey? He was so understanding of older women. So considerate. I'm very understanding of you,",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,evening. Eyelet? know c? mo make you grow. Remove? this,so,you can breathe.? Qu? It happens?? C? Mo you,  evening. Eyelet? know c? mo make you grow. Remove? this so you can breathe.? Qu? It happens?? C? Mo you,1,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,"room is rising, sir. More fissures are opening up. -","So,","they caulk them up. - Some are too big, sir.","  the engine room is rising, sir. More fissures are opening up. - So, they caulk them up. - Some are too big, sir. -",1,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,"ba-da, ba-da-ba-da-ba-da, Dada, yes My heart belongs to my daddy",So,"I simply... couldn't be bad Yes, my heart belongs to","  Ba-da, ba-da, ba-da-ba-da-ba-da, Dada, yes My heart belongs to my daddy So I simply... couldn't be bad Yes, my heart belongs to my daddy",1,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV," ghost for the ghosts. Now, let's see... Oh, I'm",so,"glad you like it, sir. - Quite funny, yes. -","  ghost for the ghosts. Now, let's see... Oh, I'm so glad you like it, sir. - Quite funny, yes. - Here",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,"love you I can't marry you. Now, let's not get",so,serious. Let's enjoy each other while we can. There's no,"  I love you I can't marry you. Now, let's not get so serious. Let's enjoy each other while we can. There's no time",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,"you; - Mr. Malone, you'd better come along. I think",so.,Examiner! Read all about it.! Challenger assaults London newsman.!,"  you; - Mr. Malone, you'd better come along. I think so. Examiner! Read all about it.! Challenger assaults London newsman.!",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,Why can't you always be like this? I love you,so,"much, Paul. There's nothing in the world I wouldn't do","  spoil everything. Why can't you always be like this? I love you so much, Paul. There's nothing in the world I wouldn't do for",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,"is my command. Ah, splendid. That'll be a pleasant change.",So,"you're our helicopter pilot, eh; Yes. Manuel Gomez. Very happy","  is my command. Ah, splendid. That'll be a pleasant change. So you're our helicopter pilot, eh; Yes. Manuel Gomez. Very happy",1,high,DM: After sentence + So,
1960,1960,TV/MOV,"The trip together, the new country, the jungle, it'll be",so,"exciting. Oh, Paul. You're my life. You've just pulled","  . The trip together, the new country, the jungle, it'll be so exciting. Oh, Paul. You're my life. You've just pulled",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,"from the carpenter, the boiler room's now nearly two-thirds full.",So,"far, the bulkhead's taking the load, but it's beginning to","  Just heard from the carpenter, the boiler room's now nearly two-thirds full. So far, the bulkhead's taking the load, but it's beginning to crack",1,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,"Yes, my heart belongs to my daddy Da-da-da, da-da-da, da-da-da",So,"I want to warn you, laddie Though I know you're","  be bad Yes, my heart belongs to my daddy Da-da-da, da-da-da, da-da-da So I want to warn you, laddie Though I know you're perfectly swell That",1,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,"And... For your wife, to forgive me for keeping you",so,"late. Don't tell me I'm buying your approval. I am,","  the morning. And... For your wife, to forgive me for keeping you so late. Don't tell me I'm buying your approval. I am,",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,here? people from all over the world? - You think,"so,","Fauch? - What s?, Mushnick, but I will. My","  have? S here? people from all over the world? - You think so, Fauch? - What s?, Mushnick, but I will. My",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV," . How's that, honey? He was",so,understanding of older women. So considerate. I'm very understanding of,"  . How's that, honey? He was so understanding of older women. So considerate. I'm very understanding of you, honey. Especially in all this",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,"of money in that show. Your wife? Hey, there, now.",So,when Mr Welsh here mentioned that he'd like to invest,"  of money in that show. Your wife? Hey, there, now. So when Mr Welsh here mentioned that he'd like to invest in a show,",1,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,"out of the show but my 51 wants him in,",so,he stays in. I'll settle the money question. Come with,"  49 percent wants him out of the show but my 51 wants him in, so he stays in. I'll settle the money question. Come with me,",1,medium,Potential DM: after comma,
1960,1960,TV/MOV,"that. Oh, I... I almost forgot. Thank you for being",so,kind to my niece. She'd... She'd like to see you,"  appreciate that. Oh, I... I almost forgot. Thank you for being so kind to my niece. She'd... She'd like to see you again",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,sure we can use any additional money. - Is that,so?,"- Yes. We're fully financed. However, there may be -","  But I'm not sure we can use any additional money. - Is that so? - Yes. We're fully financed. However, there may be -",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,"he got a good hand, he'd wag his tail. -",So,"funny! - Oh, that's marvellous. - Oh, that's terrific","  every time he got a good hand, he'd wag his tail. - So funny! - Oh, that's marvellous. - Oh, that's terrific",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,I wonder if I heard you right. - I think,so.,"- I don't. Well, I'd like $50 more. Where","  , Mr Burton. I wonder if I heard you right. - I think so. - I don't. Well, I'd like $50 more. Where",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,"by the Nandos, I lose my license as a guide,",so,"what's to win? $5,000 now and $20,000 more if I","  n't get killed by the Nandos, I lose my license as a guide, so what's to win? $5,000 now and $20,000 more if I find what I",1,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,on your epic-making expedition. Delighted; I should most certainly hope,so.,"Good evening. Jnny, I'm sorry they turned you down... but","  to represent us on your epic-making expedition. Delighted; I should most certainly hope so. Good evening. Jnny, I'm sorry they turned you down... but",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,"say "" Sir, sir, sir, sir "". You respect me",so,"much, Mr Coffman? Obviously not. It is my money you","  you say "" Sir, sir, sir, sir "". You respect me so much, Mr Coffman? Obviously not. It is my money you salute.",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV," , of course. I'm",so,"sorry. Miss Dell, would you be so kind as to","  , of course. I'm so sorry. Miss Dell, would you be so kind as to try it with Mr Dumas? Well, this is a surprise",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,it's useless. - What do you mean? I'll make you,so,"funny, your only problem will be to get her to","  afraid it's useless. - What do you mean? I'll make you so funny, your only problem will be to get her to stop laughing long enough",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,in water up to their waists. They'll drown like rats!,"So,","if it's a choice between the crew and a woman,","  they're in water up to their waists. They'll drown like rats! So, if it's a choice between the crew and a woman, you let",1,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV," Dumas. - Dumas? - Yes, yes, of course. I'm",so,"sorry. Miss Dell, would you be so kind as to","  Dumas. - Dumas? - Yes, yes, of course. I'm so sorry. Miss Dell, would you be so kind as to try it with",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,How about having dinner with me? You are teaching me,so,much. I'd like to learn more. Can't. I only have,  you say that. How about having dinner with me? You are teaching me so much. I'd like to learn more. Can't. I only have,0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,"I've seen part of Burton's show. It's very good. """,So,as long as he has the bug to take a,"  I've seen part of Burton's show. It's very good. "" So as long as he has the bug to take a flyer anyway, why,",1,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,pap? - Who are you calling pap? And it was,so,beautiful a few seconds ago. Just now I've given dozens,"  my plant, pap? - Who are you calling pap? And it was so beautiful a few seconds ago. Just now I've given dozens of carnations.",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,my soul is going down to the street with you.,So,I beg you to understand that I must stop the,"  , Amanda, but my soul is going down to the street with you. So I beg you to understand that I must stop the elevator. - Brace yourself",1,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,"brand-new. I never buy anything used. Excuse me, sir. Just",so,"I'll know, are you thinking of joining the cast of","  's brand-new. I never buy anything used. Excuse me, sir. Just so I'll know, are you thinking of joining the cast of this show?",1,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,bigger than yesterday.? C? Mo is that it has grown,so,much? It s not?. But look at the people. In,  ? s bigger than yesterday.? C? Mo is that it has grown so much? It s not?. But look at the people. In half,0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,"your lunch? - Michaels, enjoying your trip? - Very much","so,",sir. I hear we're gon na have very fine weather.,"  you enjoying your lunch? - Michaels, enjoying your trip? - Very much so, sir. I hear we're gon na have very fine weather. Oh",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,of the Amazon... on a wild and unscalable jungle plateau,so,isolated... as to insulate the area from the laws of,  described as the headwaters of the Amazon... on a wild and unscalable jungle plateau so isolated... as to insulate the area from the laws of evolution... there exists,0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,be at the service of such a famous person. Oh.,So,"you've heard of me, have you; Since your last visit","  Very happy to be at the service of such a famous person. Oh. So you've heard of me, have you; Since your last visit to the",1,high,DM: After sentence + So,
1960,1960,TV/MOV,"sells Music is dyin', nobody's buyin' Mule trains are Jezebels",So,"how can a fella sing "" Dardanella ""? Gim me","  that sells Music is dyin', nobody's buyin' Mule trains are Jezebels So how can a fella sing "" Dardanella ""? Gim me a song that sells",1,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,"bad Yes, my heart belongs to Daddy Da-da-da, da-da-da, da-da",So,"I want to warn you, laddie Though I know that","  n't be bad Yes, my heart belongs to Daddy Da-da-da, da-da-da, da-da So I want to warn you, laddie Though I know that you're perfectly swell",1,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,- How much longer? - These boats only come down,so,"fast, sir. - I'm going to the Captain. - Let","  wanting to die. - How much longer? - These boats only come down so fast, sir. - I'm going to the Captain. - Let me",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,back down there and keep them at it. It's holding,so,"far, but remember as the level in there climbs, the","  well, get back down there and keep them at it. It's holding so far, but remember as the level in there climbs, the pressure increases by",1,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,"saw me. You saw only power. Really, I've never been",so,humiliated in my life. - You could have told me,"  longer saw me. You saw only power. Really, I've never been so humiliated in my life. - You could have told me who you are.",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV," , he treats it",so,"That little ol' man, he just treats it so good","  , he treats it so That little ol' man, he just treats it so good Lights! All right, kids! Up you get. That's terrific",0,high,Intensifier: so + adj/adv,
1960,1960,TV/MOV,"the officers use force, sir? - Yes, yes, I guess",so.,"- There's a freighter two hours off, sir. Was there","  Can the officers use force, sir? - Yes, yes, I guess so. - There's a freighter two hours off, sir. Was there any",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,want to know if she's safe. Thank you for being,so,"concerned. I know she'll appreciate it. Oh, I'll pick up","  Well, I want to know if she's safe. Thank you for being so concerned. I know she'll appreciate it. Oh, I'll pick up",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,billionaire! I'm incurably romantic And I... - Could it wait,so,I could do it with Miss Dell? - It's really,  am a billionaire! I'm incurably romantic And I... - Could it wait so I could do it with Miss Dell? - It's really her number.,0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,now. That's too bad. Yes. He was like you in,so,"many ways. How's that, honey? He was so understanding of","  dead now. That's too bad. Yes. He was like you in so many ways. How's that, honey? He was so understanding of older",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,"miss you, huh? No. That's why I appreciate your company",so,much. That's nice. You married? I was once. He's,"  or miss you, huh? No. That's why I appreciate your company so much. That's nice. You married? I was once. He's",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,used to be an actor. He played Abraham Lincoln for,so,many years... This is true. He grew his own beard.,"  . Listen, there used to be an actor. He played Abraham Lincoln for so many years... This is true. He grew his own beard. He went",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,to your fingers? - Bee stings.? Why? I am Suddenly,so,wonderful? Five bees.? One for each finger? Ten bees.?,  happened to your fingers? - Bee stings.? Why? I am Suddenly so wonderful? Five bees.? One for each finger? Ten bees.?,0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,Freighter. - The Hawaiian Fisherman. - How close? Close enough,so,I could send her a mayday on the radio phone.,"  a Matson Freighter. - The Hawaiian Fisherman. - How close? Close enough so I could send her a mayday on the radio phone. Captain, Chief Pringle",1,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,This dusk? Create to open? N these assholes? I hope,so.,"If not, we will deliver the prize later. It is?","  Joe. This dusk? Create to open? N these assholes? I hope so. If not, we will deliver the prize later. It is? N",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,a shock... for I bring you news of a discovery,so,staggering... as to rate with the feats of Columbus... Edison,"  , prepare yourselves for a shock... for I bring you news of a discovery so staggering... as to rate with the feats of Columbus... Edison and Einstein.",0,low,MANUAL REVIEW NEEDED,
1960,1960,TV/MOV,"Why did you think? You never said anything about yourself,",so,what was I to think? I'm not married and I,"  - Married? Why did you think? You never said anything about yourself, so what was I to think? I'm not married and I have never been",1,low,MANUAL REVIEW NEEDED,
1960,1962,TV/MOV,responsibility comrades. To purge the minds of the reactionary Americans.,So,they will welcome the enlightened Soviet system. And conform without,  will be your responsibility comrades. To purge the minds of the reactionary Americans. So they will welcome the enlightened Soviet system. And conform without resistance. To the,1,high,DM: After sentence + So,
1960,1962,TV/MOV,superimpose it on Jerry's hometown. And those precious freedoms Jerry,so,complacently accepts. Let's see how many freedoms Jerry might lose.,  . Let's superimpose it on Jerry's hometown. And those precious freedoms Jerry so complacently accepts. Let's see how many freedoms Jerry might lose. If suddenly,0,low,MANUAL REVIEW NEEDED,
1960,1962,TV/MOV,and all the languages of mankind. Has come to mean,so,much. Freedom to enjoy the simple things of life,  . No single word and all the languages of mankind. Has come to mean so much. Freedom to enjoy the simple things of life,0,low,MANUAL REVIEW NEEDED,
1960,1962,TV/MOV,"breakfast. - Good idea. - Let's go. Gary knows now,",so,you'll never forget it. Responsibilities are a privilege. An inherent,"  breakfast. - Good idea. - Let's go. Gary knows now, so you'll never forget it. Responsibilities are a privilege. An inherent American right",1,medium,Potential DM: after comma,
1960,1962,TV/MOV,want to get married. I'm sorry to be spend you,so,"suddenly, mother. I suppose it came as an awful surprise.","  mother. We want to get married. I'm sorry to be spend you so suddenly, mother. I suppose it came as an awful surprise. Really sweetheart",0,low,MANUAL REVIEW NEEDED,
1970,1970,TV/MOV,"Sister. The powder will flare up when I light it,",so,"watch yourself. Now, you can load up the animals. We'll","  last thing, Sister. The powder will flare up when I light it, so watch yourself. Now, you can load up the animals. We'll be",1,low,MANUAL REVIEW NEEDED,
1970,1970,TV/MOV,"stupid kids today. Don't know what to do with themselves,",so,they get a divorce for kicks. That's what it is.,"  - These stupid kids today. Don't know what to do with themselves, so they get a divorce for kicks. That's what it is. Kicks.",1,medium,Potential DM: after comma,
1970,1970,TV/MOV, wonderful girl. That's why it's hell for me. She's,so,boring. I know. All she's interested in is making a,  wonderful girl. That's why it's hell for me. She's so boring. I know. All she's interested in is making a home for,0,low,MANUAL REVIEW NEEDED,
1970,1970,TV/MOV,our relationship right then and there. I was... I was,so,nervous that I.. poured the Gin over the ice then,  It almost ended our relationship right then and there. I was... I was so nervous that I.. poured the Gin over the ice then poured the Gin off,0,high,Result: so...that,
1970,1970,TV/MOV,Of course. Immediately. Thank you Sir. Co-operate! I should think,so.,"I did hear it right, didn't I? Manual re-alignment of","  . Of course. Immediately. Thank you Sir. Co-operate! I should think so. I did hear it right, didn't I? Manual re-alignment of the",0,low,MANUAL REVIEW NEEDED,
1970,1970,TV/MOV,"parson, he did come, he did come? And he looked",so,"bloody glum, as he talked of kingdom come? Well, he","  And the parson, he did come, he did come? And he looked so bloody glum, as he talked of kingdom come? Well, he can kiss",0,low,MANUAL REVIEW NEEDED,
1970,1970,TV/MOV,of the computer that simulates the human learning process but,so,long as it is directed solely to the execution of,"  Sir, is the part of the computer that simulates the human learning process but so long as it is directed solely to the execution of its problems.. We have",1,low,MANUAL REVIEW NEEDED,
1970,1970,TV/MOV,"those bastards down below? They'll say, Sam, we told you",so?,"Sam, we told you so? Damn their eyes? May I","  And those bastards down below? They'll say, Sam, we told you so? Sam, we told you so? Damn their eyes? May I break",1,low,MANUAL REVIEW NEEDED,
1970,1970,TV/MOV,at the camp but you were too busy. Don't look,so,"surprised, you no-good atheist, move! It could be, you know,","  to tell you at the camp but you were too busy. Don't look so surprised, you no-good atheist, move! It could be, you know,",0,low,MANUAL REVIEW NEEDED,
1970,1970,TV/MOV,", wake up, Sister. - Time to get movin'. I'm",so,stiff. I'm not accustomed to riding like that. Would you,"  , wake up, Sister. - Time to get movin'. I'm so stiff. I'm not accustomed to riding like that. Would you please help",0,low,MANUAL REVIEW NEEDED,
1970,1970,TV/MOV,of them. Can you get on your horse? I think,so.,I think so. Then tell me when you're on it.,  has reached some of them. Can you get on your horse? I think so. I think so. Then tell me when you're on it. -,0,low,MANUAL REVIEW NEEDED,
1970,1970,TV/MOV,"I want her to study, she wants a baby. -",So?,- So we're making babies. - Do you need any,"  do? - I want her to study, she wants a baby. - So? - So we're making babies. - Do you need any help,",1,low,MANUAL REVIEW NEEDED,
1970,1970,TV/MOV,because I know that if you weren't drunk... Maybe. Maybe,so.,But you can't stop a man from wishing. I sure,  forgive you because I know that if you weren't drunk... Maybe. Maybe so. But you can't stop a man from wishing. I sure wish you,0,low,MANUAL REVIEW NEEDED,
1970,1970,TV/MOV,going to win. Just might beat the damn thing yet.,So,"you see, we clearly have enough data compilers to go","  works We're going to win. Just might beat the damn thing yet. So you see, we clearly have enough data compilers to go ahead with the overload",1,high,DM: After sentence + So,
1970,1970,TV/MOV,to do what you did. It was a different world.,So,we got married... and then we found out it was,"  , too scared to do what you did. It was a different world. So we got married... and then we found out it was a mistake. But",1,high,DM: After sentence + So,
1970,1970,TV/MOV,"They told me... Well, they ain't telling you much now.",So,"get dressed, hm? You're a good man. All my life","  . They told me... Well, they ain't telling you much now. So get dressed, hm? You're a good man. All my life I",1,low,MANUAL REVIEW NEEDED,
1970,1970,TV/MOV,me? Destroy an entire city of 1.750.000 people? No. That's,so,reasonable of you. That's damn reasonable of you Colossus. Isn't,  Destroy me? Destroy an entire city of 1.750.000 people? No. That's so reasonable of you. That's damn reasonable of you Colossus. Isn't it,0,low,MANUAL REVIEW NEEDED,
1970,1970,TV/MOV,to overload the system. We have to co-ordinate the input,so,the data hits simultaneously on our remote devices. When do,  and setup the data to overload the system. We have to co-ordinate the input so the data hits simultaneously on our remote devices. When do you think that you,1,low,MANUAL REVIEW NEEDED,
1970,1970,TV/MOV,They're waiting for a train due today for Santa Maria,so,they can load it with supplies and ammunition. You did,"  you find out? They're waiting for a train due today for Santa Maria so they can load it with supplies and ammunition. You did all right, Sister",1,low,MANUAL REVIEW NEEDED,
1970,1970,TV/MOV,me. - He makes me do the right things. -,So?,I don't like to have to put out X amount,  He leans on me. - He makes me do the right things. - So? I don't like to have to put out X amount of achievement every,1,low,MANUAL REVIEW NEEDED,
1970,1970,TV/MOV,"loves you like you'll love Bozo, but you Barretts are",so,proud that you'll always think you hate each other. If,"  ... Your father loves you like you'll love Bozo, but you Barretts are so proud that you'll always think you hate each other. If it weren't",0,high,Result: so...that,
1970,1970,TV/MOV,about pot. When you take it... your taste buds become,so,vividly sensitive that a grapefruit tastes like caviar. Your whole,"  tell you something about pot. When you take it... your taste buds become so vividly sensitive that a grapefruit tastes like caviar. Your whole ability to touch,",0,high,Result: so...that,
