Phrase	Year	Frequency	Corpus	sense	class	weight	Weighted_Frequency
after	1943	0.000671075657010078	eng_2019	Temporal	Asynchronous	0.95	0.000637521874159574
after	1802	0.000771575161100676	eng_2019	Temporal	Asynchronous	0.95	0.000732996403045642
after	1849	0.000805880375472563	eng_2019	Temporal	Asynchronous	0.95	0.000765586356698935
after	1947	0.000656232063192874	eng_2019	Temporal	Asynchronous	0.95	0.00062342046003323
after	1806	0.000796273425554058	eng_2019	Temporal	Asynchronous	0.95	0.000756459754276355
after	1853	0.00079457153333351	eng_2019	Temporal	Asynchronous	0.95	0.000754842956666835
after	1951	0.000635328661051712	eng_2019	Temporal	Asynchronous	0.95	0.000603562227999126
after	1810	0.000825708166563085	eng_2019	Temporal	Asynchronous	0.95	0.000784422758234931
after	1908	0.000710151740349829	eng_2019	Temporal	Asynchronous	0.95	0.000674644153332337
after	1814	0.000833248603157699	eng_2019	Temporal	Asynchronous	0.95	0.000791586172999814
after	1861	0.000783489925587284	eng_2019	Temporal	Asynchronous	0.95	0.00074431542930792
after	1912	0.000695083415069218	eng_2019	Temporal	Asynchronous	0.95	0.000660329244315757
after	1818	0.000823526942570295	eng_2019	Temporal	Asynchronous	0.95	0.00078235059544178
after	1865	0.00078449584543705	eng_2019	Temporal	Asynchronous	0.95	0.000745271053165197
after	1916	0.000688154366798699	eng_2019	Temporal	Asynchronous	0.95	0.000653746648458764
after	2014	0.000634879090024957	eng_2019	Temporal	Asynchronous	0.95	0.000603135135523709
after	1873	0.000779270078055561	eng_2019	Temporal	Asynchronous	0.95	0.000740306574152783
after	1826	0.000819515827710607	eng_2019	Temporal	Asynchronous	0.95	0.000778540036325077
after	2018	0.000637698452919722	eng_2019	Temporal	Asynchronous	0.95	0.000605813530273736
after	1877	0.00077750561259953	eng_2019	Temporal	Asynchronous	0.95	0.000738630331969553
after	1830	0.000801041040436498	eng_2019	Temporal	Asynchronous	0.95	0.000760988988414673
after	1971	0.00059776719925659	eng_2019	Temporal	Asynchronous	0.95	0.00056787883929376
after	1881	0.000774426394075687	eng_2019	Temporal	Asynchronous	0.95	0.000735705074371903
after	1979	0.000573760730081371	eng_2019	Temporal	Asynchronous	0.95	0.000545072693577302
