connective	sense	class	weight	year	freq	z_freq
onthecontrary	Comparison	Contrast	1	1820	47.84	-0.0939271528672804
ontheotherhand	Comparison	Concession	0.1111111	1820	0.346543140567905	-0.211583929108693
ontheotherhand	Comparison	Contrast	0.8888889	1820	22.1787659865679	-0.157498395477246
albeit	Comparison	Concession	1	1830	2.48	-0.206298660927987
although	Comparison	Concession	0.95	1830	187.72	0.25260121017354
although	Comparison	Contrast	0.043	1830	0.384592	-0.211489669679364
and	Comparison	Concession	3e-04	1830	0.0030028824	-0.212434990327606
and	Comparison	Contrast	0.0025	1830	0.2085335	-0.211925823981655
as	Comparison	Concession	0.0083	1830	0.5720246705	-0.21102533784859
as	Comparison	Contrast	0.0071	1830	0.4185769145	-0.21140547796654
as	Comparison	Similarity	0.0077	1830	0.4923115505	-0.211222813234538
but	Comparison	Concession	0.821	1830	3579.94633797	8.65625176751341
but	Comparison	Contrast	0.165	1830	144.59660325	0.145770497530293
by	Comparison	Concession	0.0023	1830	0.0342455556	-0.212357592040496
conversely	Comparison	Contrast	1	1830	0.07	-0.212269016625216
despite	Comparison	Concession	1	1830	8.9	-0.190394227908813
for	Comparison	Concession	0.0166	1830	1.9571759224	-0.207593866616928
however	Comparison	Concession	0.8045	1830	339.81652006	0.629393876177237
however	Comparison	Contrast	0.1945	1830	19.86239446	-0.163236802921455
if	Comparison	Concession+SpeechAct	8e-04	1830	0.0016677632	-0.212438297853134
if	Comparison	Concession	0.0078	1830	0.1585417392	-0.212049669871243
if	Comparison	Contrast	0.0017	1830	0.0075309932	-0.212423772720921
indeed	Comparison	Concession	0.009708738	1830	0.0357413526832916	-0.212353886463467
like	Comparison	Contrast	0.2	1830	1.8436	-0.207875231204218
like	Comparison	Similarity	0.6	1830	16.5924	-0.171337645267583
meanwhile	Comparison	Concession	0.01302083	1830	0.00396897854513915	-0.212432596992492
meanwhile	Comparison	Contrast	0.1223958	1830	0.350698932787352	-0.211573633856513
meanwhile	Comparison	Similarity	0.005208333	1830	0.000635036811076391	-0.212440856253084
nevertheless	Comparison	Concession	0.7272727	1830	26.4251219850579	-0.146978787291335
nevertheless	Comparison	Contrast	0.2727273	1830	3.71603380105789	-0.203236602236653
nonetheless	Comparison	Concession	0.9259259	1830	0	-0.212442429446297
nonetheless	Comparison	Contrast	0.07407407	1830	0	-0.212442429446297
nor	Comparison	Concession	0.02941176	1830	0.45746525153496	-0.211309138877506
only	Comparison	Concession	0.2857143	1830	99.5575609761635	0.0341941063944707
only	Comparison	Contrast	0.1428571	1830	24.8893728214716	-0.150783338647489
or	Comparison	Concession	0.03089888	1830	3.77515008638228	-0.203090151925083
regardless	Comparison	Concession	1	1830	8.46	-0.19148425135561
similarly	Comparison	Similarity	1	1830	3.21	-0.20449021293671
still	Comparison	Concession	0.5958549	1830	236.803070964769	0.374195978792627
still	Comparison	Contrast	0.388601	1830	100.719631390951	0.0370729336648058
though	Comparison	Concession	0.9319149	1830	657.784364103547	1.41710388830212
though	Comparison	Contrast	0.06808511	1830	3.51103631691358	-0.203744447837225
whatever	Comparison	Concession	1	1830	159.65	0.183062668919924
when	Comparison	Concession	0.003724395	1830	0.0324822747146581	-0.212361960262106
when	Comparison	Contrast	0.001396648	1830	0.00456781906410911	-0.212431113469296
whereas	Comparison	Contrast	1	1830	21.73	-0.158610135130619
whether	Comparison	Concession	1	1830	307.92	0.55037579723035
while	Comparison	Concession	0.2752179	1830	64.5232866594373	-0.0525972128026854
while	Comparison	Contrast	0.2970112	1830	75.1465039445361	-0.0262800402545567
while	Comparison	Similarity	0.00124533	1830	0.00132108885416146	-0.21243915667851
with	Comparison	Concession	0.006734	1830	0.37435833028776	-0.211515021815576
with	Comparison	Contrast	0.003367003	1830	0.0935897493488172	-0.212210577125456
without	Comparison	Concession	0.06397306	1830	3.88411871173806	-0.202820201114621
yet	Comparison	Concession	0.9411765	1830	779.063854919862	1.71755272604163
yet	Comparison	Contrast	0.03921569	1830	1.35254158724046	-0.209091742985251
asif	Comparison	Concession	0.25	1830	22.335625	-0.157109804562514
asif	Comparison	Similarity	0.625	1830	139.59765625	0.133386476077349
asthough	Comparison	Similarity	0.4	1830	4.9248	-0.20024209428542
aswell	Comparison	Similarity	0.3333333	1830	31.2966604073336	-0.134910398422578
butthen	Comparison	Concession	1	1830	20.79	-0.16093882158514
bycomparison	Comparison	Contrast	1	1830	1.24	-0.209370545187142
bycontrast	Comparison	Contrast	1	1830	1.09	-0.209742144089459
evenas	Comparison	Concession	0.5769231	1830	5.31545900511835	-0.199274304568872
evenif	Comparison	Concession	1	1830	24.72	-0.151202930344431
evenso	Comparison	Concession	1	1830	8.53	-0.191310838534528
eventhough	Comparison	Concession	1	1830	9.34	-0.189304204462016
evenwhen	Comparison	Concession	0.785714	1830	12.5197868130629	-0.181426835866438
evenwith	Comparison	Concession	1	1830	11.16	-0.184795471113901
ifonly	Comparison	Concession	0.8333333	1830	1.21527768055556	-0.209431790432264
incontrast	Comparison	Contrast	1	1830	2.12	-0.207190498293548
infact	Comparison	Concession	0.04705882	1830	0.172334922246645	-0.212015499660045
infact	Comparison	Contrast	0.08235294	1830	0.527775763467405	-0.211134956817137
nomatter	Comparison	Concession	1	1830	26.26	-0.147387848280641
regardlessof	Comparison	Concession	1	1830	7.44	-0.194011123891366
asmuchas	Comparison	Concession	0.5	1830	10.0275	-0.187601042826396
butthenagain	Comparison	Concession	1	1830	0.22	-0.211897417722899
inanycase	Comparison	Concession	1	1830	3.5	-0.20377178839223
intheend	Comparison	Concession	0.07692308	1830	0.0737869881514794	-0.212259635020948
intheend	Comparison	Contrast	0.07692308	1830	0.0737869881514794	-0.212259635020948
inthemeantime	Comparison	Contrast	0.0357142	1830	0.0160968615102968	-0.212402552272511
onthecontrary	Comparison	Contrast	1	1830	43.98	-0.103489631286908
ontheotherhand	Comparison	Concession	0.1111111	1830	0.438518430814819	-0.211356076329386
ontheotherhand	Comparison	Contrast	0.8888889	1830	28.0651858868148	-0.142915814320516
albeit	Comparison	Concession	1	1840	2.47	-0.206323434188141
although	Comparison	Concession	0.95	1840	173.9659	0.218527820424471
