Phrase	Year	Frequency	Corpus	sense	class	weight	Weighted_Frequency
additionally	1817	4.05673229611888e-07	eng_2019	Expansion	Conjunction	1	4.05673229611888e-07
additionally	1909	3.33064605229083e-07	eng_2019	Expansion	Conjunction	1	3.33064605229083e-07
additionally	2007	2.33878342571968e-06	eng_2019	Expansion	Conjunction	1	2.33878342571968e-06
additionally	1876	3.80980265747764e-07	eng_2019	Expansion	Conjunction	1	3.80980265747764e-07
additionally	1865	3.852931748887e-07	eng_2019	Expansion	Conjunction	1	3.852931748887e-07
additionally	1914	3.50476674222071e-07	eng_2019	Expansion	Conjunction	1	3.50476674222071e-07
additionally	1925	3.45404596860785e-07	eng_2019	Expansion	Conjunction	1	3.45404596860785e-07
additionally	1881	3.62097945786185e-07	eng_2019	Expansion	Conjunction	1	3.62097945786185e-07
additionally	1908	3.30625015619392e-07	eng_2019	Expansion	Conjunction	1	3.30625015619392e-07
additionally	2006	2.36632968153572e-06	eng_2019	Expansion	Conjunction	1	2.36632968153572e-06
additionally	1832	4.56613910111108e-07	eng_2019	Expansion	Conjunction	1	4.56613910111108e-07
additionally	1902	3.21388934513119e-07	eng_2019	Expansion	Conjunction	1	3.21388934513119e-07
additionally	1848	4.17664848230613e-07	eng_2019	Expansion	Conjunction	1	4.17664848230613e-07
additionally	2000	2.34064951395599e-06	eng_2019	Expansion	Conjunction	1	2.34064951395599e-06
additionally	1880	3.57997647272766e-07	eng_2019	Expansion	Conjunction	1	3.57997647272766e-07
additionally	1858	3.64298472277369e-07	eng_2019	Expansion	Conjunction	1	3.64298472277369e-07
additionally	1918	3.5387245540213e-07	eng_2019	Expansion	Conjunction	1	3.5387245540213e-07
additionally	2005	2.38913392942257e-06	eng_2019	Expansion	Conjunction	1	2.38913392942257e-06
additionally	1885	3.48121009860084e-07	eng_2019	Expansion	Conjunction	1	3.48121009860084e-07
additionally	1874	3.73268485580931e-07	eng_2019	Expansion	Conjunction	1	3.73268485580931e-07
additionally	1999	2.32620004680939e-06	eng_2019	Expansion	Conjunction	1	2.32620004680939e-06
additionally	1836	4.14203169287118e-07	eng_2019	Expansion	Conjunction	1	4.14203169287118e-07
additionally	1906	3.18539256178545e-07	eng_2019	Expansion	Conjunction	1	3.18539256178545e-07
additionally	1868	3.75599946827216e-07	eng_2019	Expansion	Conjunction	1	3.75599946827216e-07
additionally	2004	2.38837226009179e-06	eng_2019	Expansion	Conjunction	1	2.38837226009179e-06
additionally	1900	3.25904011333478e-07	eng_2019	Expansion	Conjunction	1	3.25904011333478e-07
additionally	1862	3.79931301657572e-07	eng_2019	Expansion	Conjunction	1	3.79931301657572e-07
additionally	1911	3.4095043182398e-07	eng_2019	Expansion	Conjunction	1	3.4095043182398e-07
additionally	2009	2.33099451309369e-06	eng_2019	Expansion	Conjunction	1	2.33099451309369e-06
additionally	1813	3.19381955802913e-07	eng_2019	Expansion	Conjunction	1	3.19381955802913e-07
additionally	1802	3.96838108448113e-07	eng_2019	Expansion	Conjunction	1	3.96838108448113e-07
additionally	2003	2.36522890060899e-06	eng_2019	Expansion	Conjunction	1	2.36522890060899e-06
additionally	1829	4.48531161672301e-07	eng_2019	Expansion	Conjunction	1	4.48531161672301e-07
additionally	1818	3.94540657160698e-07	eng_2019	Expansion	Conjunction	1	3.94540657160698e-07
additionally	1910	3.38120969445299e-07	eng_2019	Expansion	Conjunction	1	3.38120969445299e-07
additionally	2008	2.30230687390888e-06	eng_2019	Expansion	Conjunction	1	2.30230687390888e-06
additionally	1877	3.75861564602279e-07	eng_2019	Expansion	Conjunction	1	3.75861564602279e-07
additionally	1866	3.86049472516398e-07	eng_2019	Expansion	Conjunction	1	3.86049472516398e-07
additionally	1915	3.54153359337163e-07	eng_2019	Expansion	Conjunction	1	3.54153359337163e-07
additionally	1926	3.35263085357188e-07	eng_2019	Expansion	Conjunction	1	3.35263085357188e-07
additionally	1882	3.58796699271936e-07	eng_2019	Expansion	Conjunction	1	3.58796699271936e-07
additionally	1844	3.63578400148461e-07	eng_2019	Expansion	Conjunction	1	3.63578400148461e-07
additionally	1920	3.50447245572078e-07	eng_2019	Expansion	Conjunction	1	3.50447245572078e-07
additionally	1833	4.70280273897775e-07	eng_2019	Expansion	Conjunction	1	4.70280273897775e-07
additionally	1903	3.18757831304798e-07	eng_2019	Expansion	Conjunction	1	3.18757831304798e-07
additionally	1849	4.19999476467378e-07	eng_2019	Expansion	Conjunction	1	4.19999476467378e-07
additionally	1985	2.27554473245358e-06	eng_2019	Expansion	Conjunction	1	2.27554473245358e-06
additionally	1838	3.95442084157237e-07	eng_2019	Expansion	Conjunction	1	3.95442084157237e-07
additionally	1843	3.58541001332924e-07	eng_2019	Expansion	Conjunction	1	3.58541001332924e-07
additionally	1919	3.51101501142434e-07	eng_2019	Expansion	Conjunction	1	3.51101501142434e-07
additionally	1930	3.32773185261561e-07	eng_2019	Expansion	Conjunction	1	3.32773185261561e-07
additionally	1886	3.44808743843065e-07	eng_2019	Expansion	Conjunction	1	3.44808743843065e-07
additionally	2011	2.29544675026513e-06	eng_2019	Expansion	Conjunction	1	2.29544675026513e-06
additionally	1924	3.49791032964017e-07	eng_2019	Expansion	Conjunction	1	3.49791032964017e-07
additionally	1837	4.14267097832115e-07	eng_2019	Expansion	Conjunction	1	4.14267097832115e-07
additionally	1907	3.2901331386321e-07	eng_2019	Expansion	Conjunction	1	3.2901331386321e-07
additionally	1853	4.12959110462907e-07	eng_2019	Expansion	Conjunction	1	4.12959110462907e-07
additionally	1929	3.27649900100369e-07	eng_2019	Expansion	Conjunction	1	3.27649900100369e-07
additionally	1842	3.58761180255637e-07	eng_2019	Expansion	Conjunction	1	3.58761180255637e-07
additionally	1820	3.93952433341838e-07	eng_2019	Expansion	Conjunction	1	3.93952433341838e-07
additionally	1912	3.48166005486356e-07	eng_2019	Expansion	Conjunction	1	3.48166005486356e-07
additionally	1923	3.48013169774016e-07	eng_2019	Expansion	Conjunction	1	3.48013169774016e-07
additionally	1879	3.70745620362608e-07	eng_2019	Expansion	Conjunction	1	3.70745620362608e-07
additionally	1917	3.53731853205578e-07	eng_2019	Expansion	Conjunction	1	3.53731853205578e-07
additionally	1928	3.27838177684368e-07	eng_2019	Expansion	Conjunction	1	3.27838177684368e-07
additionally	1841	3.5741348369811e-07	eng_2019	Expansion	Conjunction	1	3.5741348369811e-07
additionally	1819	4.12319857494887e-07	eng_2019	Expansion	Conjunction	1	4.12319857494887e-07
additionally	1846	3.78769832260722e-07	eng_2019	Expansion	Conjunction	1	3.78769832260722e-07
additionally	1922	3.500227917032e-07	eng_2019	Expansion	Conjunction	1	3.500227917032e-07
additionally	1878	3.75388602995892e-07	eng_2019	Expansion	Conjunction	1	3.75388602995892e-07
additionally	1867	3.78152232575043e-07	eng_2019	Expansion	Conjunction	1	3.78152232575043e-07
additionally	1916	3.55345942385351e-07	eng_2019	Expansion	Conjunction	1	3.55345942385351e-07
additionally	1927	3.29539736705036e-07	eng_2019	Expansion	Conjunction	1	3.29539736705036e-07
additionally	1883	3.50673202222294e-07	eng_2019	Expansion	Conjunction	1	3.50673202222294e-07
additionally	1845	3.76929717406581e-07	eng_2019	Expansion	Conjunction	1	3.76929717406581e-07
additionally	1921	3.49212500948072e-07	eng_2019	Expansion	Conjunction	1	3.49212500948072e-07
additionally	1834	4.62876227759677e-07	eng_2019	Expansion	Conjunction	1	4.62876227759677e-07
additionally	1904	3.10871497179375e-07	eng_2019	Expansion	Conjunction	1	3.10871497179375e-07
additionally	1850	4.24428025423497e-07	eng_2019	Expansion	Conjunction	1	4.24428025423497e-07
additionally	1986	2.26296918169412e-06	eng_2019	Expansion	Conjunction	1	2.26296918169412e-06
additionally	1839	3.85258837403463e-07	eng_2019	Expansion	Conjunction	1	3.85258837403463e-07
additionally	2018	2.48871474468615e-06	eng_2019	Expansion	Conjunction	1	2.48871474468615e-06
additionally	1980	2.22188704615941e-06	eng_2019	Expansion	Conjunction	1	2.22188704615941e-06
additionally	1931	3.43413112042461e-07	eng_2019	Expansion	Conjunction	1	3.43413112042461e-07
additionally	2012	2.28641433100815e-06	eng_2019	Expansion	Conjunction	1	2.28641433100815e-06
additionally	1953	7.87277575195081e-07	eng_2019	Expansion	Conjunction	1	7.87277575195081e-07
additionally	1964	1.30513982250185e-06	eng_2019	Expansion	Conjunction	1	1.30513982250185e-06
additionally	1936	4.10362783246195e-07	eng_2019	Expansion	Conjunction	1	4.10362783246195e-07
